1,25739,0
2,25046,536
3,25189,424
4,25739,0
5,25739,0
6,25681,44
7,25739,0
8,25739,0
9,24818,716
10,25634,80
11,25739,0
12,25739,0
13,25739,0
14,25572,128
15,22711,2460
16,25739,0
17,25739,0
18,25739,0
19,25739,0
20,25739,0
21,25739,0
22,25707,24
23,25739,0
24,25739,0
25,25739,0
26,24308,1124
27,25739,0
28,25739,0
29,25739,0
30,25739,0
31,24682,824
32,25577,124
33,25739,0
34,21852,3218
35,25739,0
36,25676,48
37,25707,24
38,25739,0
39,25676,48
40,25442,228
41,25739,0
42,25739,0
43,25739,0
44,25739,0
45,25739,0
46,25739,0
47,25739,0
48,23669,1648
49,25702,28
50,25739,0
51,25707,24
52,25739,0
53,25739,0
54,15635,9798
55,25739,0
56,25739,0
57,25702,28
58,25739,0
59,25739,0
60,25125,474
61,25739,0
62,25739,0
63,25184,428
64,25739,0
65,25739,0
66,23220,2024
67,25739,0
68,25739,0
69,25367,286
70,25739,0
71,25739,0
72,25739,0
73,25739,0
74,25739,0
75,25739,0
76,25739,0
77,25739,0
78,23291,1964
79,25739,0
80,25739,0
81,25702,28
82,25739,0
83,25739,0
84,25739,0
85,25739,0
86,25739,0
87,22518,2628
88,25739,0
89,25739,0
90,16396,8864
91,25739,0
92,25739,0
93,25739,0
94,25707,24
95,25692,36
96,25739,0
97,25313,328
98,25739,0
99,25739,0
100,25739,0
101,25739,0
102,25707,24
103,22145,2956
104,25739,0
105,25739,0
106,25739,0
107,25739,0
108,25739,0
109,25739,0
110,15936,9424
111,25739,0
112,22813,2372
113,25739,0
114,25739,0
115,25739,0
116,25676,48
117,25707,24
118,25739,0
119,23777,1558
120,25739,0
121,23098,2128
122,25658,62
123,25739,0
124,13436,12778
125,25739,0
126,25739,0
127,21545,3496
128,25431,236
129,25739,0
130,25189,424
131,25739,0
132,25739,0
133,25739,0
134,25739,0
135,25739,0
136,25637,78
137,25739,0
138,25739,0
139,25739,0
140,21907,3168
141,25739,0
142,25739,0
143,25739,0
144,25739,0
145,25613,96
146,25739,0
147,25707,24
148,25658,62
