source_id,local_scope,title,author,source_page,direct_download,license,license_url,retrieved_at,cc0_marker_verified,notes
oga_75_breaking_falling_hit_sfx,OpenGameArt/75_CC0_Breaking_Falling_Hit_SFX,"75 CC0 Breaking, Falling and Hit SFX",rubberduck,https://opengameart.org/content/75-cc0-breaking-falling-hit-sfx,https://opengameart.org/sites/default/files/sfx_breaking_and_falling.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_7_assorted_ui_sfx,OpenGameArt/7_Assorted_UI_CC0_SFX,7 Assorted UI/Menu/Level-up SFX,Joth,https://opengameart.org/content/7-assorted-sound-effects-menu-level-up,https://opengameart.org/sites/default/files/UISoundEffects.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_7_mechanical_clicks_cc0,OpenGameArt/7_Mechanical_Clicks_CC0,7 Mechanical Clicks and Buzzes,qubodup,https://opengameart.org/content/7-mechanical-clicks-and-buzzes,https://opengameart.org/sites/default/files/mechanical.7z,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_80_cc0_creature_sfx,OpenGameArt/80_CC0_Creature_SFX,80 CC0 Creature SFX,rubberduck,https://opengameart.org/content/80-cc0-creature-sfx,https://opengameart.org/sites/default/files/80-CC0-creature-SFX_0.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_80_cc0_creature_sfx_2,OpenGameArt/80_CC0_Creature_SFX_2,80 CC0 Creature SFX #2,rubberduck,https://opengameart.org/content/80-cc0-creture-sfx-2,https://opengameart.org/sites/default/files/80-CC0-creature-sfx-2.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_80_cc0_rpg_sfx,OpenGameArt/80_CC0_RPG_SFX,80 CC0 RPG SFX,rubberduck,https://opengameart.org/content/80-cc0-rpg-sfx,https://opengameart.org/sites/default/files/80-CC0-RPG-SFX_0.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_claimed_by_void,OpenGameArt/Additional_CC0_Ambience/oga_claimed_by_void_*,Claimed by the Void,vitalezzz,https://opengameart.org/content/claimed-by-the-void,https://opengameart.org/sites/default/files/claimed_by_the_void.wav,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_scifi_city_ambient,OpenGameArt/Additional_CC0_Ambience/oga_scifi_city_ambient_loop.ogg,Sci-Fi City Ambient Loop,TinyWorlds,https://opengameart.org/content/scifi-city-ambient-loop,https://opengameart.org/sites/default/files/busy_cyberworld.ogg,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_loading_screen_loop,OpenGameArt/Additional_CC0_Ambience/oga_loading_screen_loop_*,Loading Screen Loop,HaelDB,https://opengameart.org/content/loading-screen-loop,https://opengameart.org/sites/default/files/b423b42.wav,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_background_space_track,OpenGameArt/Additional_CC0_Ambience/oga_background_space_track.ogg,Background Space Track,yd,https://opengameart.org/content/background-space-track,https://opengameart.org/sites/default/files/MyVeryOwnDeadShip.ogg,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
